2025-09-07T20:25:13.415050,pending,5,5,0
2025-09-07T20:25:21.343963,pending,5,0,0
2025-09-07T20:25:25.529324,pending,5,5,0
2025-09-07T20:51:37.714796,pending,3,0,0
2025-09-07T21:01:14.936977,pending,3,0,0
2025-09-07T21:03:14.007173,pending,3,2,0
2025-09-07T21:05:49.730196,pending,3,3,0
2025-09-07T21:44:44.871576,pending,3,0,0
2025-09-07T21:47:45.718764,pending,3,3,0
2025-09-07T21:57:30.001378,pending,3,3,0
2025-09-07T22:35:38.912227,pending,5,5,0
2025-09-07T22:35:45.018093,pending,5,5,0
2025-09-07T22:40:40.551962,pending,5,5,0
2025-09-07T22:40:46.519762,pending,5,5,0
2025-09-07T22:47:38.610399,pending,3,0,0
2025-09-07T22:47:43.442194,pending,3,3,0
2025-09-07T22:55:31.542180,pending,3,0,0
2025-09-07T22:56:17.259123,pending,5,2,0
2025-09-07T22:56:22.024245,pending,5,5,0
2025-09-08T22:56:27.557669,pending,20,20,0
